month,factory_id,preventive_maintenance_count,corrective_maintenance_count,maintenance_cost_eur,mttr_hours,mtbf_hours
2025-01,1,18,9,17691.89,4.78,101.5
2025-01,2,19,11,25757.44,3.09,212.37
2025-01,3,21,3,9918.32,5.05,218.45
2025-01,4,11,12,17470.96,5.99,177.59
2025-01,5,18,9,20468.5,1.8,191.41
2025-02,1,11,4,7453.4,4.63,198.04
2025-02,2,8,16,20621.35,3.24,123.08
2025-02,3,21,10,18336.4,1.35,209.11
2025-02,4,25,15,35286.15,2.41,82.99
2025-02,5,25,18,40439.63,1.93,192.82
2025-03,1,10,8,15204.33,6.29,172.53
2025-03,2,16,13,26421.83,2.88,198.42
2025-03,3,8,10,20613.22,4.8,235.18
2025-03,4,20,14,23135.7,5.59,141.86
2025-03,5,14,14,24366.86,4.11,165.33
2025-04,1,26,12,24411.18,2.02,240.88
2025-04,2,19,16,30976.44,1.65,147.1
2025-04,3,16,7,12534.66,5.99,176.01
2025-04,4,26,12,31235.25,3.22,253.37
2025-04,5,24,8,18314.27,1.95,150.06
2025-05,1,25,11,24811.82,4.71,114.16
2025-05,2,17,12,19665.3,6.36,113.97
2025-05,3,28,3,17168.84,6.18,144.02
2025-05,4,25,8,16622.09,2.87,106.05
2025-05,5,8,6,13053.32,4.61,80.36
2025-06,1,19,5,11187.04,2.02,189.8
2025-06,2,12,6,13353.23,5.83,210.79
2025-06,3,20,11,23620.07,3.04,243.71
2025-06,4,11,10,19547.64,3.62,185.36
2025-06,5,10,5,8430.88,3.82,136.16
2025-07,1,15,8,15023.95,2.96,243.28
2025-07,2,23,15,21295.69,3.65,235.78
2025-07,3,19,14,28865.97,3.22,107.79
2025-07,4,26,7,16736.52,1.82,127.96
2025-07,5,22,11,21584.7,2.44,255.0
2025-08,1,25,6,15915.4,4.56,151.9
2025-08,2,25,13,24380.0,4.8,246.12
2025-08,3,28,9,22688.49,1.52,151.96
2025-08,4,13,3,8533.51,1.89,184.21
2025-08,5,27,16,37689.01,5.71,166.93
2025-09,1,8,4,9114.13,4.7,249.56
2025-09,2,18,3,12718.42,3.93,192.11
2025-09,3,19,5,11921.97,5.28,256.87
2025-09,4,12,13,28503.11,2.29,201.17
2025-09,5,17,5,14077.47,4.81,180.65
2025-10,1,11,3,6979.37,2.18,212.17
2025-10,2,15,18,25574.14,3.04,189.19
2025-10,3,16,18,36744.46,1.39,168.2
2025-10,4,8,18,21244.19,5.2,115.77
2025-10,5,16,15,25315.03,5.52,235.33
2025-11,1,28,12,30403.84,5.72,255.4
2025-11,2,27,13,28598.31,3.11,94.05
2025-11,3,25,8,25078.57,6.29,175.04
2025-11,4,20,6,20292.57,1.35,123.36
2025-11,5,21,7,18942.78,2.63,237.29
2025-12,1,23,7,20336.1,2.93,259.49
2025-12,2,20,9,17517.92,6.39,211.17
2025-12,3,12,4,12013.41,2.69,133.88
2025-12,4,13,7,13180.02,3.09,162.31
2025-12,5,13,4,11483.59,3.39,192.1
