month,country,energy_price_eur_kwh
2025-01,France,0.1422
2025-01,Germany,0.1423
2025-01,Italy,0.1061
2025-01,Spain,0.1597
2025-02,France,0.118
2025-02,Germany,0.1568
2025-02,Italy,0.2107
2025-02,Spain,0.2016
2025-03,France,0.2084
2025-03,Germany,0.1051
2025-03,Italy,0.1127
2025-03,Spain,0.1072
2025-04,France,0.2053
2025-04,Germany,0.1927
2025-04,Italy,0.1939
2025-04,Spain,0.1076
2025-05,France,0.1735
2025-05,Germany,0.2127
2025-05,Italy,0.1881
2025-05,Spain,0.1202
2025-06,France,0.2125
2025-06,Germany,0.1328
2025-06,Italy,0.2175
2025-06,Spain,0.1268
2025-07,France,0.1331
2025-07,Germany,0.1356
2025-07,Italy,0.1573
2025-07,Spain,0.1096
2025-08,France,0.1101
2025-08,Germany,0.1785
2025-08,Italy,0.1755
2025-08,Spain,0.1678
2025-09,France,0.1791
2025-09,Germany,0.2126
2025-09,Italy,0.2305
2025-09,Spain,0.2403
2025-10,France,0.161
2025-10,Germany,0.1159
2025-10,Italy,0.1197
2025-10,Spain,0.1611
2025-11,France,0.1548
2025-11,Germany,0.1162
2025-11,Italy,0.131
2025-11,Spain,0.1393
2025-12,France,0.1386
2025-12,Germany,0.1105
2025-12,Italy,0.2239
2025-12,Spain,0.1058
