month,factory_id,production_cycles,target_cycles,avg_cycle_duration_sec,downtime_hours,oee,energy_consumption_kwh
2025-01,1,9175,11308,210.18,90,0.829,51726
2025-01,2,10029,13665,217.07,96,0.777,82523
2025-01,3,12687,13450,226.14,123,0.793,83438
2025-01,4,11813,10982,175.18,35,0.705,51425
2025-01,5,11883,10047,232.03,112,0.793,65593
2025-02,1,9922,11627,192.61,70,0.865,78658
2025-02,2,13424,10312,225.62,36,0.808,64144
2025-02,3,10556,11873,184.86,107,0.842,82842
2025-02,4,10731,10101,234.35,72,0.764,72670
2025-02,5,8942,11633,237.37,95,0.795,52631
2025-03,1,11685,12074,231.18,135,0.818,77180
2025-03,2,11461,13755,211.73,133,0.777,76404
2025-03,3,12402,12121,231.36,98,0.732,53454
2025-03,4,8600,13943,224.33,138,0.834,85783
2025-03,5,11717,11925,184.97,138,0.733,52996
2025-04,1,13333,12870,206.98,85,0.844,80758
2025-04,2,10256,12292,203.15,64,0.806,87392
2025-04,3,12311,12860,208.52,138,0.772,58273
2025-04,4,10611,13407,193.83,29,0.714,84142
2025-04,5,11953,13291,211.6,87,0.763,58096
2025-05,1,10330,12837,208.99,90,0.856,77581
2025-05,2,11757,12284,221.47,29,0.871,65752
2025-05,3,11949,13755,231.83,81,0.839,78762
2025-05,4,10320,11855,239.54,48,0.902,76401
2025-05,5,8726,12656,193.65,88,0.765,57752
2025-06,1,14323,13508,203.79,82,0.891,51040
2025-06,2,8201,11848,215.64,132,0.699,58028
2025-06,3,10230,10494,218.48,121,0.806,62598
2025-06,4,13676,13103,219.48,44,0.681,88554
2025-06,5,12976,12352,228.87,135,0.793,53838
2025-07,1,12671,10913,208.11,41,0.9,78077
2025-07,2,10581,10345,204.24,45,0.895,83406
2025-07,3,10706,12079,203.84,128,0.714,57890
2025-07,4,11280,10057,242.12,74,0.884,48366
2025-07,5,11042,12647,199.74,123,0.897,46676
2025-08,1,12381,11949,197.94,63,0.784,52954
2025-08,2,12276,13886,207.66,104,0.865,55085
2025-08,3,13043,12128,189.49,104,0.757,84204
2025-08,4,10111,12779,224.76,95,0.772,57811
2025-08,5,13502,13774,187.14,107,0.805,48158
2025-09,1,11901,13555,227.83,49,0.791,89474
2025-09,2,8367,10528,220.2,52,0.861,78872
2025-09,3,9328,10656,221.29,48,0.77,72876
2025-09,4,12566,11696,235.76,74,0.75,67548
2025-09,5,9631,11079,207.47,124,0.867,63852
2025-10,1,12031,10724,197.81,86,0.782,79553
2025-10,2,12498,13263,194.17,37,0.875,60160
2025-10,3,8240,13906,181.52,83,0.829,71738
2025-10,4,12665,13208,233.35,133,0.834,46781
2025-10,5,11083,13467,185.97,96,0.838,80283
2025-11,1,9973,10449,218.45,60,0.808,82227
2025-11,2,14188,10878,214.89,97,0.742,81420
2025-11,3,9286,10415,229.71,37,0.9,56224
2025-11,4,9068,12803,179.23,70,0.846,57156
2025-11,5,13491,12580,182.44,65,0.744,49188
2025-12,1,10584,13816,197.02,58,0.739,45909
2025-12,2,11572,13549,237.86,124,0.739,46011
2025-12,3,8669,10395,191.47,64,0.708,89946
2025-12,4,12797,12361,244.17,134,0.761,74887
2025-12,5,13174,12562,220.83,103,0.689,71489
