month,factory_id,inspected_units,defect_count,defect_rate,rework_cost_eur
2025-01,1,10473,453,0.0433,15917.04
2025-01,2,10215,206,0.0202,10080.92
2025-01,3,9814,318,0.0325,13097.58
2025-01,4,8658,101,0.0117,4743.93
2025-01,5,9857,62,0.0063,1450.51
2025-02,1,10800,420,0.0389,24281.35
2025-02,2,12692,203,0.016,12410.44
2025-02,3,7341,187,0.0256,12629.61
2025-02,4,6737,151,0.0225,6445.97
2025-02,5,12824,497,0.0388,15776.71
2025-03,1,11420,499,0.0437,15032.21
2025-03,2,7298,196,0.0269,13252.08
2025-03,3,11907,267,0.0225,17836.02
2025-03,4,11775,167,0.0142,5944.58
2025-03,5,12049,279,0.0232,20096.91
2025-04,1,10969,272,0.0248,18519.52
2025-04,2,7728,268,0.0348,6593.77
2025-04,3,6645,131,0.0198,7428.26
2025-04,4,11635,141,0.0122,3921.34
2025-04,5,11251,257,0.0229,17802.49
2025-05,1,9505,68,0.0072,4987.57
2025-05,2,11309,462,0.0409,25019.05
2025-05,3,8201,141,0.0172,5473.33
2025-05,4,6078,149,0.0246,6590.51
2025-05,5,8237,319,0.0388,14618.42
2025-06,1,7130,72,0.0102,1886.94
2025-06,2,7823,342,0.0438,15045.59
2025-06,3,10985,337,0.0307,6992.55
2025-06,4,11719,376,0.0321,13760.22
2025-06,5,8087,353,0.0437,7940.09
2025-07,1,9838,191,0.0195,12430.15
2025-07,2,10304,391,0.038,28130.56
2025-07,3,12664,212,0.0168,4265.89
2025-07,4,10834,82,0.0076,3942.18
2025-07,5,9706,271,0.028,10844.16
2025-08,1,11287,419,0.0372,30456.07
2025-08,2,11024,272,0.0247,5236.57
2025-08,3,8608,96,0.0112,2303.4
2025-08,4,6752,85,0.0126,5699.01
2025-08,5,6149,269,0.0439,16325.35
2025-09,1,6582,233,0.0354,11110.92
2025-09,2,12000,523,0.0436,36395.39
2025-09,3,11875,142,0.012,10311.7
2025-09,4,7982,148,0.0186,10228.15
2025-09,5,11656,180,0.0155,5686.31
2025-10,1,12950,235,0.0182,4783.0
2025-10,2,8041,234,0.0292,10061.02
2025-10,3,12297,127,0.0104,5734.01
2025-10,4,9126,226,0.0248,4278.61
2025-10,5,7790,163,0.021,3250.28
2025-11,1,9812,359,0.0366,12491.88
2025-11,2,10270,186,0.0182,11479.59
2025-11,3,12023,343,0.0286,13084.69
2025-11,4,10259,128,0.0125,6173.62
2025-11,5,10610,216,0.0204,6557.27
2025-12,1,6622,182,0.0276,8019.9
2025-12,2,12617,129,0.0103,3098.91
2025-12,3,9407,203,0.0216,3720.78
2025-12,4,7610,60,0.008,3651.03
2025-12,5,7384,195,0.0265,13648.76
