part_id,factory_id,part_name,stock_qty,reorder_threshold,unit_price_eur,avg_monthly_usage
1,1,Bearing,48,36,149.15,7
2,1,Belt,116,65,717.1,17
3,1,Sensor,234,55,569.63,48
4,1,Valve,244,73,807.26,7
5,1,Motor,102,61,556.31,64
6,1,Pump,29,38,84.7,11
7,1,Fuse,147,33,14.15,8
8,1,Gear,246,79,226.37,24
9,1,Filter,126,51,698.62,48
10,1,Controller,121,54,338.89,14
11,2,Bearing,129,22,20.74,52
12,2,Belt,50,48,576.24,25
13,2,Sensor,92,35,146.58,28
14,2,Valve,177,45,242.86,24
15,2,Motor,244,25,23.95,12
16,2,Pump,71,80,485.32,69
17,2,Fuse,129,72,696.82,22
18,2,Gear,170,31,424.77,17
19,2,Filter,76,20,693.73,14
20,2,Controller,259,60,360.49,46
21,3,Bearing,187,25,633.25,5
22,3,Belt,134,35,105.32,34
23,3,Sensor,160,58,576.74,25
24,3,Valve,162,67,455.31,6
25,3,Motor,180,78,627.92,61
26,3,Pump,54,35,567.5,23
27,3,Fuse,249,27,64.85,3
28,3,Gear,164,29,351.29,35
29,3,Filter,15,48,520.37,22
30,3,Controller,200,60,534.55,59
31,4,Bearing,67,26,199.49,44
32,4,Belt,232,71,65.47,52
33,4,Sensor,145,48,655.77,41
34,4,Valve,133,48,630.77,55
35,4,Motor,245,38,732.12,24
36,4,Pump,57,59,469.35,29
37,4,Fuse,114,64,255.94,54
38,4,Gear,120,75,590.95,44
39,4,Filter,89,71,93.47,52
40,4,Controller,70,58,290.27,53
41,5,Bearing,111,59,470.32,51
42,5,Belt,139,42,736.87,60
43,5,Sensor,129,31,436.3,7
44,5,Valve,105,39,151.0,58
45,5,Motor,69,48,838.83,66
46,5,Pump,35,59,266.6,7
47,5,Fuse,177,55,258.87,55
48,5,Gear,120,64,537.99,68
49,5,Filter,151,71,567.79,67
50,5,Controller,184,73,841.57,52
