month,client_id,product_id,quantity,revenue_eur,contract_type
2025-01,1,5,132,39877.98,Support industriel
2025-01,2,4,338,58760.72,Maintenance prédictive
2025-01,3,2,306,89779.96,Maintenance prédictive
2025-01,4,6,462,260167.03,Standard
2025-01,5,2,130,31909.03,Support industriel
2025-01,6,4,436,56009.87,Premium
2025-01,7,3,35,20216.4,Standard
2025-01,8,1,131,82992.37,Support industriel
2025-01,9,5,197,78643.15,Standard
2025-01,10,4,140,19401.74,Standard
2025-02,1,1,475,257975.07,Maintenance prédictive
2025-02,2,6,97,46596.59,Support industriel
2025-02,3,1,349,193274.75,Premium
2025-02,4,5,460,172854.76,Premium
2025-02,5,1,64,39652.85,Premium
2025-02,6,4,258,45780.43,Standard
2025-02,7,5,427,193486.38,Premium
2025-02,8,1,30,21366.31,Support industriel
2025-02,9,1,246,162586.18,Support industriel
2025-02,10,4,199,32812.8,Standard
2025-03,1,4,112,16261.08,Standard
2025-03,2,3,384,221773.87,Premium
2025-03,3,4,75,10527.54,Premium
2025-03,4,1,458,258160.49,Maintenance prédictive
2025-03,5,3,417,265861.91,Standard
2025-03,6,6,135,62238.55,Standard
2025-03,7,4,468,73889.65,Maintenance prédictive
2025-03,8,3,238,154875.02,Maintenance prédictive
2025-03,9,2,399,128279.02,Premium
2025-03,10,5,234,79437.65,Maintenance prédictive
2025-04,1,5,255,88041.66,Maintenance prédictive
2025-04,2,2,382,127622.54,Support industriel
2025-04,3,2,203,65026.58,Maintenance prédictive
2025-04,4,3,179,85170.96,Premium
2025-04,5,1,489,283169.15,Maintenance prédictive
2025-04,6,6,182,97223.13,Standard
2025-04,7,6,192,90107.53,Support industriel
2025-04,8,5,256,101110.17,Standard
2025-04,9,3,465,298876.64,Support industriel
2025-04,10,6,251,126816.93,Support industriel
2025-05,1,3,27,16955.64,Support industriel
2025-05,2,6,199,108884.34,Support industriel
2025-05,3,1,204,130120.6,Standard
2025-05,4,5,31,13476.73,Maintenance prédictive
2025-05,5,5,519,199800.53,Standard
2025-05,6,1,414,254744.28,Maintenance prédictive
2025-05,7,4,173,30312.98,Maintenance prédictive
2025-05,8,1,125,73073.91,Standard
2025-05,9,2,110,25389.99,Maintenance prédictive
2025-05,10,5,296,109862.37,Standard
2025-06,1,3,84,39924.69,Support industriel
2025-06,2,2,79,24196.56,Standard
2025-06,3,1,426,315849.3,Support industriel
2025-06,4,1,90,58080.66,Standard
2025-06,5,3,229,152470.17,Support industriel
2025-06,6,2,496,114563.33,Maintenance prédictive
2025-06,7,2,156,46773.52,Premium
2025-06,8,5,223,91803.69,Standard
2025-06,9,4,514,79260.26,Support industriel
2025-06,10,4,345,54517.14,Standard
2025-07,1,3,418,264483.5,Premium
2025-07,2,4,118,15977.96,Support industriel
2025-07,3,5,338,109348.45,Maintenance prédictive
2025-07,4,2,410,130689.96,Maintenance prédictive
2025-07,5,1,473,261632.56,Support industriel
2025-07,6,4,59,8315.67,Standard
2025-07,7,1,207,141282.14,Standard
2025-07,8,3,302,151365.8,Maintenance prédictive
2025-07,9,3,67,34910.39,Standard
2025-07,10,5,57,23232.82,Support industriel
2025-08,1,5,198,83694.6,Premium
2025-08,2,2,96,23781.08,Maintenance prédictive
2025-08,3,6,81,37758.52,Support industriel
2025-08,4,3,117,57787.89,Premium
2025-08,5,3,262,121859.57,Premium
2025-08,6,5,166,70473.23,Standard
2025-08,7,5,196,84713.26,Premium
2025-08,8,6,161,77756.53,Standard
2025-08,9,3,97,49738.64,Support industriel
2025-08,10,6,72,30915.17,Standard
2025-09,1,3,515,313439.76,Support industriel
2025-09,2,1,265,162001.13,Maintenance prédictive
2025-09,3,2,517,173288.64,Standard
2025-09,4,1,169,123621.22,Standard
2025-09,5,2,354,88040.01,Standard
2025-09,6,1,181,105009.45,Maintenance prédictive
2025-09,7,1,149,98519.27,Support industriel
2025-09,8,6,191,94818.76,Premium
2025-09,9,1,203,153235.63,Support industriel
2025-09,10,6,270,142162.33,Standard
2025-10,1,6,353,161131.82,Maintenance prédictive
2025-10,2,2,297,99408.87,Maintenance prédictive
2025-10,3,4,295,50698.72,Standard
2025-10,4,6,351,198742.3,Standard
2025-10,5,4,258,45507.16,Standard
2025-10,6,6,326,128920.83,Premium
2025-10,7,6,262,122823.67,Maintenance prédictive
2025-10,8,1,155,86361.31,Support industriel
2025-10,9,2,350,87251.38,Premium
2025-10,10,4,509,81972.81,Standard
2025-11,1,1,398,314432.48,Support industriel
2025-11,2,3,108,58551.09,Premium
2025-11,3,2,379,111976.16,Premium
2025-11,4,3,404,222525.95,Support industriel
2025-11,5,4,304,44219.26,Standard
2025-11,6,4,212,36293.74,Premium
2025-11,7,5,298,123729.32,Support industriel
2025-11,8,3,415,217565.73,Premium
2025-11,9,6,474,260782.12,Maintenance prédictive
2025-11,10,5,65,28177.7,Maintenance prédictive
2025-12,1,2,60,16729.05,Premium
2025-12,2,6,416,180102.03,Maintenance prédictive
2025-12,3,5,228,84992.81,Support industriel
2025-12,4,1,504,302319.26,Maintenance prédictive
2025-12,5,6,66,33963.99,Maintenance prédictive
2025-12,6,4,192,31044.24,Standard
2025-12,7,4,475,71814.39,Support industriel
2025-12,8,6,180,84944.34,Standard
2025-12,9,6,371,164705.31,Standard
2025-12,10,5,463,148253.98,Maintenance prédictive
